entry_id,title,length
2603.20193,"From Masks to Pixels and Meaning: A New Taxonomy, Benchmark, and Metrics for VLM Image Tampering",79235
2603.20192,LumosX: Relate Any Identities with Their Attributes for Personalized Video Generation,100138
2603.20185,VideoSeek: Long-Horizon Video Agent with Tool-Guided Seeking,76906
2603.20181,Improving Generalization on Cybersecurity Tasks with Multi-Modal Contrastive Learning,45112
2603.20180,Adaptive Greedy Frame Selection for Long Video Understanding,31134
2603.20179,AI Agents Can Already Autonomously Perform Experimental High Energy Physics,481936
2603.20172,Measuring Faithfulness Depends on How You Measure: Classifier Sensitivity in LLM Chain-of-Thought Evaluation,47709
2603.20170,Learning Dynamic Belief Graphs for Theory-of-mind Reasoning,64615
2603.20164,The Robot's Inner Critic: Self-Refinement of Social Behaviors through VLM-based Replanning,43326
2603.20161,Semantic Token Clustering for Efficient Uncertainty Quantification in Large Language Models,49597
2603.20151,Design-OS: A Specification-Driven Framework for Engineering System Design with a Control-Systems Design Case,58775
2603.20149,Enhancing Hyperspace Analogue to Language (HAL) Representations via Attention-Based Pooling for Text Classification,19386
2603.20131,An Agentic Multi-Agent Architecture for Cybersecurity Risk Management,36605
2603.20122,Evolving Jailbreaks: Automated Multi-Objective Long-Tail Attacks on Large Language Models,70744
2603.20116,Chain-of-Adaptation: Surgical Vision-Language Adaptation with Reinforcement Learning,55280
2603.20112,Demonstration of Adapt4Me: An Uncertainty-Aware Authoring Environment for Personalizing Automatic Speech Recognition to Non-normative Speech,31629
2603.20111,Var-JEPA: A Variational Formulation of the Joint-Embedding Predictive Architecture -- Bridging Predictive and Generative Self-Supervised Learning,92780
2603.20105,The $\mathbf{Y}$-Combinator for LLMs: Solving Long-Context Rot with $λ$-Calculus,79475
2603.20103,Spectral Alignment in Forward-Backward Representations via Temporal Abstraction,53915
2603.20101,Pitfalls in Evaluating Interpretability Agents,125504
2603.20100,An Empirical Study of SFT-DPO Interaction and Parameterization in Small Language Models,33900
2603.20094,LLM-Enhanced Semantic Data Integration of Electronic Component Qualifications in the Aerospace Domain,51248
2603.20075,Agentic Harness for Real-World Compilers,99851
2603.20063,Fine-tuning Timeseries Predictors Using Reinforcement Learning,48573
2603.20062,The End of Rented Discovery: How AI Search Redistributes Power Between Hotels and Intermediaries,52910
2603.20059,DIAL-KG: Schema-Free Incremental Knowledge Graph Construction via Dynamic Schema Induction and Evolution-Intent Assessment,40974
2603.20046,Experience is the Best Teacher: Motivating Effective Exploration in Reinforcement Learning for LLMs,63644
